year,month,lat,lng,probability
8,2,42,310,0.00028
8,2,43,356,0.00035
8,2,43,357,0.00071
8,2,44,354,0.00026
8,2,44,355,0.00032
8,2,44,356,0.00056
8,2,44,357,0.00119
8,2,44,358,0.00056
8,2,45,307,0.00044
8,2,45,351,0.00025
8,2,45,353,0.0005
8,2,45,354,0.00053
8,2,46,355,0.00056
8,2,46,356,0.00039
8,2,48,315,0.0003
8,2,49,353,0.00032
8,2,49,357,0.00038
8,2,49,359,0.00028
8,2,50,309,0.00047
8,2,51,349,0.00028
8,2,51,354,0.00028
8,2,51,355,0.00043
8,2,52,325,0.00033
8,2,52,355,0.00055
8,2,53,356,0.00142
8,2,54,9,0.02176
8,2,54,10,0.09434
8,2,54,11,0.02638
8,2,54,316,0.00039
8,2,54,347,0.00032
8,2,55,10,0.01171
8,2,55,11,0.00076
8,2,55,312,0.00029
8,2,56,10,0.00188
8,2,56,11,0.00322
8,2,56,12,0.00088
8,2,56,310,0.00031
8,2,56,311,0.00026
8,2,56,316,0.00028
8,2,56,351,0.00029
8,2,56,352,0.00063
8,2,57,6,0.00045
8,2,57,7,0.00027
8,2,57,11,0.00031
8,2,57,303,0.00025
8,2,57,313,0.00036
8,2,57,314,0.00035
8,2,57,315,0.00027
8,2,57,351,0.00027
8,2,57,352,0.00046
8,2,58,310,0.00028
8,2,58,311,0.0003
8,2,58,312,0.0004
8,2,58,354,0.0006
8,2,58,355,0.00034
8,2,59,4,0.00028
8,2,59,303,0.00036
8,2,59,304,0.00048
8,2,59,305,0.00027
8,2,59,312,0.00047
8,2,59,313,0.00027
8,2,59,317,0.00029
8,2,59,319,0.00028
8,2,60,304,0.00058
8,2,60,305,0.00047
8,2,60,306,0.0004
8,2,60,307,0.00028
8,2,60,317,0.00169
8,2,60,318,0.00027
8,2,60,319,0.00042
8,2,60,320,0.0003
8,2,61,301,0.00027
8,2,61,303,0.00046
8,2,61,304,0.00042
8,2,61,305,0.00034
8,2,61,306,0.00026
8,2,61,317,0.00091
8,2,61,318,0.00047
8,2,62,295,0.00038
8,2,62,306,0.00029
8,2,62,318,0.00059
8,2,62,331,0.00034
8,2,63,0,0.0003
8,2,63,6,0.00034
8,2,63,7,0.00025
8,2,63,319,0.00044
8,2,63,354,0.00028
8,2,63,356,0.00027
8,2,63,357,0.00051
8,2,63,358,0.00047
8,2,64,4,0.00043
8,2,64,320,0.00038
8,2,64,355,0.00065
8,2,64,356,0.00043
8,2,64,358,0.00025
8,2,65,7,0.0003
8,2,65,293,0.00029
8,2,65,320,0.00067
8,2,65,321,0.00027
8,2,65,324,0.00028
8,2,65,355,0.0005
8,2,66,7,0.00027
8,2,66,8,0.00031
8,2,66,9,0.00044
8,2,66,11,0.00026
8,2,66,72,0.00108
8,2,66,325,0.00035
8,2,66,326,0.00031
8,2,66,331,0.00057
8,2,66,348,0.00027
8,2,66,349,0.00107
8,2,66,356,0.00033
